2026-04-08 08:48:36,901 | INFO | Rewiring complete | nodes=327 | edges 899->988 (+89) | density 0.0169->0.0185 | avg_degree 5.50->6.04
2026-04-08 08:49:06,481 | INFO | Rewiring complete | nodes=351 | edges 792->871 (+79) | density 0.0129->0.0142 | avg_degree 4.51->4.96
2026-04-08 08:49:36,851 | INFO | Rewiring complete | nodes=188 | edges 451->496 (+45) | density 0.0257->0.0282 | avg_degree 4.80->5.28
2026-04-08 08:50:07,964 | INFO | Rewiring complete | nodes=108 | edges 268->294 (+26) | density 0.0464->0.0509 | avg_degree 4.96->5.44
2026-04-08 08:50:41,147 | INFO | Rewiring complete | nodes=174 | edges 422->464 (+42) | density 0.0280->0.0308 | avg_degree 4.85->5.33
2026-04-08 08:51:15,584 | INFO | Rewiring complete | nodes=4152 | edges 10320->11352 (+1032) | density 0.0012->0.0013 | avg_degree 4.97->5.47
2026-04-08 08:51:49,171 | INFO | Rewiring complete | nodes=1396 | edges 3455->3800 (+345) | density 0.0035->0.0039 | avg_degree 4.95->5.44
2026-04-08 08:52:25,018 | INFO | Rewiring complete | nodes=503 | edges 1407->1547 (+140) | density 0.0111->0.0123 | avg_degree 5.59->6.15
2026-04-08 08:52:59,920 | INFO | Rewiring complete | nodes=377 | edges 894->983 (+89) | density 0.0126->0.0139 | avg_degree 4.74->5.21
2026-04-08 08:53:30,051 | INFO | Rewiring complete | nodes=146 | edges 328->360 (+32) | density 0.0310->0.0340 | avg_degree 4.49->4.93
2026-04-08 08:54:09,427 | INFO | Rewiring complete | nodes=312 | edges 761->837 (+76) | density 0.0157->0.0173 | avg_degree 4.88->5.37
2026-04-08 08:54:42,522 | INFO | Rewiring complete | nodes=237 | edges 694->763 (+69) | density 0.0248->0.0273 | avg_degree 5.86->6.44
2026-04-08 08:55:13,314 | INFO | Rewiring complete | nodes=315 | edges 728->800 (+72) | density 0.0147->0.0162 | avg_degree 4.62->5.08
2026-04-08 08:55:44,544 | INFO | Rewiring complete | nodes=277 | edges 766->842 (+76) | density 0.0200->0.0220 | avg_degree 5.53->6.08
2026-04-08 08:56:18,807 | INFO | Rewiring complete | nodes=224 | edges 497->546 (+49) | density 0.0199->0.0219 | avg_degree 4.44->4.88
2026-04-08 08:56:58,336 | INFO | Rewiring complete | nodes=452 | edges 1009->1109 (+100) | density 0.0099->0.0109 | avg_degree 4.46->4.91
2026-04-08 08:57:30,722 | INFO | Rewiring complete | nodes=257 | edges 572->629 (+57) | density 0.0174->0.0191 | avg_degree 4.45->4.89
2026-04-08 08:58:08,746 | INFO | Rewiring complete | nodes=221 | edges 633->696 (+63) | density 0.0260->0.0286 | avg_degree 5.73->6.30
