2026-04-08 08:37:29,684 | INFO | Rewiring complete | nodes=37 | edges 84->92 (+8) | density 0.1261->0.1381 | avg_degree 4.54->4.97
2026-04-08 08:37:38,364 | INFO | Rewiring complete | nodes=23 | edges 51->56 (+5) | density 0.2016->0.2213 | avg_degree 4.43->4.87
2026-04-08 08:37:45,926 | INFO | Rewiring complete | nodes=25 | edges 46->51 (+5) | density 0.1533->0.1700 | avg_degree 3.68->4.08
2026-04-08 08:37:52,513 | INFO | Rewiring complete | nodes=24 | edges 45->50 (+5) | density 0.1630->0.1812 | avg_degree 3.75->4.17
2026-04-08 08:37:59,155 | INFO | Rewiring complete | nodes=23 | edges 45->50 (+5) | density 0.1779->0.1976 | avg_degree 3.91->4.35
2026-04-08 08:38:05,930 | INFO | Rewiring complete | nodes=24 | edges 46->51 (+5) | density 0.1667->0.1848 | avg_degree 3.83->4.25
2026-04-08 08:38:15,199 | INFO | Rewiring complete | nodes=26 | edges 59->64 (+5) | density 0.1815->0.1969 | avg_degree 4.54->4.92
2026-04-08 08:38:31,907 | INFO | Rewiring complete | nodes=88 | edges 133->146 (+13) | density 0.0347->0.0381 | avg_degree 3.02->3.32
2026-04-08 08:38:38,540 | INFO | Rewiring complete | nodes=23 | edges 39->44 (+5) | density 0.1542->0.1739 | avg_degree 3.39->3.83
2026-04-08 08:38:45,689 | INFO | Rewiring complete | nodes=32 | edges 53->58 (+5) | density 0.1069->0.1169 | avg_degree 3.31->3.62
2026-04-08 08:38:49,494 | INFO | Rewiring complete | nodes=4 | edges 6->6 (+0) | density 1.0000->1.0000 | avg_degree 3.00->3.00
2026-04-08 08:38:55,220 | INFO | Rewiring complete | nodes=14 | edges 28->33 (+5) | density 0.3077->0.3626 | avg_degree 4.00->4.71
2026-04-08 08:39:04,484 | INFO | Rewiring complete | nodes=42 | edges 75->82 (+7) | density 0.0871->0.0952 | avg_degree 3.57->3.90
2026-04-08 08:39:13,060 | INFO | Rewiring complete | nodes=41 | edges 73->80 (+7) | density 0.0890->0.0976 | avg_degree 3.56->3.90
2026-04-08 08:39:21,446 | INFO | Rewiring complete | nodes=36 | edges 64->70 (+6) | density 0.1016->0.1111 | avg_degree 3.56->3.89
2026-04-08 08:39:41,760 | INFO | Rewiring complete | nodes=55 | edges 97->106 (+9) | density 0.0653->0.0714 | avg_degree 3.53->3.85
2026-04-08 08:40:07,336 | INFO | Rewiring complete | nodes=40 | edges 95->104 (+9) | density 0.1218->0.1333 | avg_degree 4.75->5.20
2026-04-08 08:40:19,214 | INFO | Rewiring complete | nodes=38 | edges 91->100 (+9) | density 0.1294->0.1422 | avg_degree 4.79->5.26
2026-04-08 08:40:23,490 | INFO | Rewiring complete | nodes=2 | edges 1->1 (+0) | density 1.0000->1.0000 | avg_degree 1.00->1.00
2026-04-08 08:40:33,445 | INFO | Rewiring complete | nodes=35 | edges 70->77 (+7) | density 0.1176->0.1294 | avg_degree 4.00->4.40
2026-04-08 08:40:46,431 | INFO | Rewiring complete | nodes=42 | edges 90->99 (+9) | density 0.1045->0.1150 | avg_degree 4.29->4.71
2026-04-08 08:40:59,155 | INFO | Rewiring complete | nodes=41 | edges 90->99 (+9) | density 0.1098->0.1207 | avg_degree 4.39->4.83
2026-04-08 08:41:10,299 | INFO | Rewiring complete | nodes=39 | edges 81->89 (+8) | density 0.1093->0.1201 | avg_degree 4.15->4.56
2026-04-08 08:41:22,232 | INFO | Rewiring complete | nodes=42 | edges 92->101 (+9) | density 0.1069->0.1173 | avg_degree 4.38->4.81
2026-04-08 08:41:34,690 | INFO | Rewiring complete | nodes=41 | edges 88->96 (+8) | density 0.1073->0.1171 | avg_degree 4.29->4.68
2026-04-08 08:41:46,565 | INFO | Rewiring complete | nodes=40 | edges 85->93 (+8) | density 0.1090->0.1192 | avg_degree 4.25->4.65
2026-04-08 08:41:57,940 | INFO | Rewiring complete | nodes=37 | edges 83->91 (+8) | density 0.1246->0.1366 | avg_degree 4.49->4.92
2026-04-08 08:42:05,567 | INFO | Rewiring complete | nodes=23 | edges 49->54 (+5) | density 0.1937->0.2134 | avg_degree 4.26->4.70
2026-04-08 08:42:12,928 | INFO | Rewiring complete | nodes=22 | edges 47->52 (+5) | density 0.2035->0.2251 | avg_degree 4.27->4.73
2026-04-08 08:42:22,196 | INFO | Rewiring complete | nodes=34 | edges 66->72 (+6) | density 0.1176->0.1283 | avg_degree 3.88->4.24
2026-04-08 08:42:34,917 | INFO | Rewiring complete | nodes=38 | edges 81->89 (+8) | density 0.1152->0.1266 | avg_degree 4.26->4.68
2026-04-08 08:42:45,673 | INFO | Rewiring complete | nodes=38 | edges 79->86 (+7) | density 0.1124->0.1223 | avg_degree 4.16->4.53
2026-04-08 08:42:56,418 | INFO | Rewiring complete | nodes=39 | edges 82->90 (+8) | density 0.1107->0.1215 | avg_degree 4.21->4.62
2026-04-08 08:43:01,786 | INFO | Rewiring complete | nodes=8 | edges 14->19 (+5) | density 0.5000->0.6786 | avg_degree 3.50->4.75
2026-04-08 08:43:09,064 | INFO | Rewiring complete | nodes=23 | edges 44->49 (+5) | density 0.1739->0.1937 | avg_degree 3.83->4.26
2026-04-08 08:43:19,485 | INFO | Rewiring complete | nodes=42 | edges 81->89 (+8) | density 0.0941->0.1034 | avg_degree 3.86->4.24
2026-04-08 08:43:37,076 | INFO | Rewiring complete | nodes=42 | edges 80->88 (+8) | density 0.0929->0.1022 | avg_degree 3.81->4.19
2026-04-08 08:43:41,873 | INFO | Rewiring complete | nodes=100 | edges 16->16 (+0) | density 0.0032->0.0032 | avg_degree 0.32->0.32
2026-04-08 08:43:48,611 | INFO | Rewiring complete | nodes=24 | edges 43->48 (+5) | density 0.1558->0.1739 | avg_degree 3.58->4.00
2026-04-08 08:43:56,042 | INFO | Rewiring complete | nodes=24 | edges 50->55 (+5) | density 0.1812->0.1993 | avg_degree 4.17->4.58
2026-04-08 08:44:08,903 | INFO | Rewiring complete | nodes=47 | edges 95->104 (+9) | density 0.0879->0.0962 | avg_degree 4.04->4.43
2026-04-08 08:44:20,925 | INFO | Rewiring complete | nodes=45 | edges 97->106 (+9) | density 0.0980->0.1071 | avg_degree 4.31->4.71
2026-04-08 08:44:30,944 | INFO | Rewiring complete | nodes=45 | edges 95->104 (+9) | density 0.0960->0.1051 | avg_degree 4.22->4.62
2026-04-08 08:44:42,689 | INFO | Rewiring complete | nodes=45 | edges 95->104 (+9) | density 0.0960->0.1051 | avg_degree 4.22->4.62
2026-04-08 08:44:54,784 | INFO | Rewiring complete | nodes=46 | edges 97->106 (+9) | density 0.0937->0.1024 | avg_degree 4.22->4.61
2026-04-08 08:45:07,454 | INFO | Rewiring complete | nodes=44 | edges 95->104 (+9) | density 0.1004->0.1099 | avg_degree 4.32->4.73
2026-04-08 08:45:15,420 | INFO | Rewiring complete | nodes=30 | edges 51->56 (+5) | density 0.1172->0.1287 | avg_degree 3.40->3.73
2026-04-08 08:45:23,615 | INFO | Rewiring complete | nodes=32 | edges 57->62 (+5) | density 0.1149->0.1250 | avg_degree 3.56->3.88
2026-04-08 08:45:32,423 | INFO | Rewiring complete | nodes=33 | edges 64->70 (+6) | density 0.1212->0.1326 | avg_degree 3.88->4.24
2026-04-08 08:45:37,358 | INFO | Rewiring complete | nodes=9 | edges 15->20 (+5) | density 0.4167->0.5556 | avg_degree 3.33->4.44
2026-04-08 08:45:45,239 | INFO | Rewiring complete | nodes=27 | edges 47->52 (+5) | density 0.1339->0.1481 | avg_degree 3.48->3.85
2026-04-08 08:45:57,245 | INFO | Rewiring complete | nodes=39 | edges 85->93 (+8) | density 0.1147->0.1255 | avg_degree 4.36->4.77
2026-04-08 08:46:03,666 | INFO | Rewiring complete | nodes=16 | edges 31->36 (+5) | density 0.2583->0.3000 | avg_degree 3.88->4.50
2026-04-08 08:46:09,034 | INFO | Rewiring complete | nodes=18 | edges 31->36 (+5) | density 0.2026->0.2353 | avg_degree 3.44->4.00
2026-04-08 08:46:14,590 | INFO | Rewiring complete | nodes=7 | edges 12->17 (+5) | density 0.5714->0.8095 | avg_degree 3.43->4.86
2026-04-08 08:46:22,440 | INFO | Rewiring complete | nodes=18 | edges 37->42 (+5) | density 0.2418->0.2745 | avg_degree 4.11->4.67
2026-04-08 08:46:28,254 | INFO | Rewiring complete | nodes=10 | edges 18->23 (+5) | density 0.4000->0.5111 | avg_degree 3.60->4.60
2026-04-08 08:46:36,902 | INFO | Rewiring complete | nodes=21 | edges 50->55 (+5) | density 0.2381->0.2619 | avg_degree 4.76->5.24
2026-04-08 08:46:42,959 | INFO | Rewiring complete | nodes=18 | edges 32->37 (+5) | density 0.2092->0.2418 | avg_degree 3.56->4.11
2026-04-08 08:46:47,776 | INFO | Rewiring complete | nodes=10 | edges 18->23 (+5) | density 0.4000->0.5111 | avg_degree 3.60->4.60
2026-04-08 08:46:52,704 | INFO | Rewiring complete | nodes=9 | edges 16->21 (+5) | density 0.4444->0.5833 | avg_degree 3.56->4.67
2026-04-08 08:47:02,432 | INFO | Rewiring complete | nodes=39 | edges 70->77 (+7) | density 0.0945->0.1039 | avg_degree 3.59->3.95
2026-04-08 08:47:09,314 | INFO | Rewiring complete | nodes=33 | edges 55->60 (+5) | density 0.1042->0.1136 | avg_degree 3.33->3.64
2026-04-08 08:47:16,429 | INFO | Rewiring complete | nodes=29 | edges 49->54 (+5) | density 0.1207->0.1330 | avg_degree 3.38->3.72
2026-04-08 08:47:22,419 | INFO | Rewiring complete | nodes=24 | edges 39->44 (+5) | density 0.1413->0.1594 | avg_degree 3.25->3.67
2026-04-08 08:47:29,259 | INFO | Rewiring complete | nodes=25 | edges 43->48 (+5) | density 0.1433->0.1600 | avg_degree 3.44->3.84
2026-04-08 08:47:37,180 | INFO | Rewiring complete | nodes=30 | edges 54->59 (+5) | density 0.1241->0.1356 | avg_degree 3.60->3.93
2026-04-08 08:47:46,915 | INFO | Rewiring complete | nodes=38 | edges 75->82 (+7) | density 0.1067->0.1166 | avg_degree 3.95->4.32
2026-04-08 08:47:54,460 | INFO | Rewiring complete | nodes=28 | edges 55->60 (+5) | density 0.1455->0.1587 | avg_degree 3.93->4.29
2026-04-08 08:48:02,508 | INFO | Rewiring complete | nodes=28 | edges 54->59 (+5) | density 0.1429->0.1561 | avg_degree 3.86->4.21
2026-04-08 08:48:36,866 | INFO | Rewiring complete | nodes=38 | edges 88->96 (+8) | density 0.1252->0.1366 | avg_degree 4.63->5.05
2026-04-08 08:49:06,239 | INFO | Rewiring complete | nodes=40 | edges 70->77 (+7) | density 0.0897->0.0987 | avg_degree 3.50->3.85
2026-04-08 08:49:36,709 | INFO | Rewiring complete | nodes=40 | edges 87->95 (+8) | density 0.1115->0.1218 | avg_degree 4.35->4.75
2026-04-08 08:50:07,719 | INFO | Rewiring complete | nodes=42 | edges 94->103 (+9) | density 0.1092->0.1196 | avg_degree 4.48->4.90
2026-04-08 08:50:15,160 | INFO | Rewiring complete | nodes=20 | edges 36->41 (+5) | density 0.1895->0.2158 | avg_degree 3.60->4.10
2026-04-08 08:50:41,113 | INFO | Rewiring complete | nodes=19 | edges 35->40 (+5) | density 0.2047->0.2339 | avg_degree 3.68->4.21
2026-04-08 08:50:47,677 | INFO | Rewiring complete | nodes=16 | edges 28->33 (+5) | density 0.2333->0.2750 | avg_degree 3.50->4.12
2026-04-08 08:51:14,885 | INFO | Rewiring complete | nodes=17 | edges 29->34 (+5) | density 0.2132->0.2500 | avg_degree 3.41->4.00
2026-04-08 08:51:22,241 | INFO | Rewiring complete | nodes=20 | edges 40->45 (+5) | density 0.2105->0.2368 | avg_degree 4.00->4.50
2026-04-08 08:51:48,475 | INFO | Rewiring complete | nodes=18 | edges 32->37 (+5) | density 0.2092->0.2418 | avg_degree 3.56->4.11
2026-04-08 08:51:57,502 | INFO | Rewiring complete | nodes=33 | edges 69->75 (+6) | density 0.1307->0.1420 | avg_degree 4.18->4.55
2026-04-08 08:52:24,814 | INFO | Rewiring complete | nodes=23 | edges 44->49 (+5) | density 0.1739->0.1937 | avg_degree 3.83->4.26
2026-04-08 08:52:32,141 | INFO | Rewiring complete | nodes=23 | edges 42->47 (+5) | density 0.1660->0.1858 | avg_degree 3.65->4.09
2026-04-08 08:52:59,697 | INFO | Rewiring complete | nodes=35 | edges 74->81 (+7) | density 0.1244->0.1361 | avg_degree 4.23->4.63
2026-04-08 08:53:28,595 | INFO | Rewiring complete | nodes=33 | edges 68->74 (+6) | density 0.1288->0.1402 | avg_degree 4.12->4.48
2026-04-08 08:53:37,705 | INFO | Rewiring complete | nodes=39 | edges 69->75 (+6) | density 0.0931->0.1012 | avg_degree 3.54->3.85
2026-04-08 08:54:09,120 | INFO | Rewiring complete | nodes=40 | edges 73->80 (+7) | density 0.0936->0.1026 | avg_degree 3.65->4.00
2026-04-08 08:54:41,655 | INFO | Rewiring complete | nodes=38 | edges 91->100 (+9) | density 0.1294->0.1422 | avg_degree 4.79->5.26
2026-04-08 08:55:12,851 | INFO | Rewiring complete | nodes=40 | edges 94->103 (+9) | density 0.1205->0.1321 | avg_degree 4.70->5.15
2026-04-08 08:55:37,067 | INFO | Rewiring complete | nodes=38 | edges 66->72 (+6) | density 0.0939->0.1024 | avg_degree 3.47->3.79
2026-04-08 08:55:48,010 | INFO | Rewiring complete | nodes=37 | edges 79->86 (+7) | density 0.1186->0.1291 | avg_degree 4.27->4.65
2026-04-08 08:56:18,365 | INFO | Rewiring complete | nodes=36 | edges 77->84 (+7) | density 0.1222->0.1333 | avg_degree 4.28->4.67
2026-04-08 08:56:44,675 | INFO | Rewiring complete | nodes=34 | edges 56->61 (+5) | density 0.0998->0.1087 | avg_degree 3.29->3.59
2026-04-08 08:56:57,959 | INFO | Rewiring complete | nodes=34 | edges 67->73 (+6) | density 0.1194->0.1301 | avg_degree 3.94->4.29
2026-04-08 08:57:30,388 | INFO | Rewiring complete | nodes=32 | edges 64->70 (+6) | density 0.1290->0.1411 | avg_degree 4.00->4.38
2026-04-08 08:57:35,688 | INFO | Rewiring complete | nodes=18 | edges 32->37 (+5) | density 0.2092->0.2418 | avg_degree 3.56->4.11
2026-04-08 08:58:08,616 | INFO | Rewiring complete | nodes=32 | edges 65->71 (+6) | density 0.1310->0.1431 | avg_degree 4.06->4.44
2026-04-08 08:58:42,437 | INFO | Rewiring complete | nodes=34 | edges 67->73 (+6) | density 0.1194->0.1301 | avg_degree 3.94->4.29
2026-04-08 08:58:50,785 | INFO | Rewiring complete | nodes=30 | edges 58->63 (+5) | density 0.1333->0.1448 | avg_degree 3.87->4.20
2026-04-08 08:59:14,731 | INFO | Rewiring complete | nodes=5 | edges 9->10 (+1) | density 0.9000->1.0000 | avg_degree 3.60->4.00
2026-04-08 08:59:27,350 | INFO | Rewiring complete | nodes=45 | edges 88->96 (+8) | density 0.0889->0.0970 | avg_degree 3.91->4.27
2026-04-08 08:59:58,567 | INFO | Rewiring complete | nodes=42 | edges 82->90 (+8) | density 0.0952->0.1045 | avg_degree 3.90->4.29
2026-04-08 09:00:35,260 | INFO | Rewiring complete | nodes=59 | edges 115->126 (+11) | density 0.0672->0.0736 | avg_degree 3.90->4.27
2026-04-08 09:00:44,045 | INFO | Rewiring complete | nodes=32 | edges 64->70 (+6) | density 0.1290->0.1411 | avg_degree 4.00->4.38
2026-04-08 09:01:13,878 | INFO | Rewiring complete | nodes=33 | edges 69->75 (+6) | density 0.1307->0.1420 | avg_degree 4.18->4.55
2026-04-08 09:01:21,687 | INFO | Rewiring complete | nodes=17 | edges 30->35 (+5) | density 0.2206->0.2574 | avg_degree 3.53->4.12
2026-04-08 09:01:45,576 | INFO | Rewiring complete | nodes=39 | edges 83->91 (+8) | density 0.1120->0.1228 | avg_degree 4.26->4.67
2026-04-08 09:02:18,579 | INFO | Rewiring complete | nodes=38 | edges 82->90 (+8) | density 0.1166->0.1280 | avg_degree 4.32->4.74
