2026-04-08 22:26:40,212 | INFO | Rewiring complete | nodes=42 | edges 81->89 (+8) | density 0.0941->0.1034 | avg_degree 3.86->4.24
2026-04-08 22:26:53,473 | INFO | Rewiring complete | nodes=27 | edges 46->51 (+5) | density 0.1311->0.1453 | avg_degree 3.41->3.78
2026-04-08 22:27:01,296 | INFO | Rewiring complete | nodes=10 | edges 17->22 (+5) | density 0.3778->0.4889 | avg_degree 3.40->4.40
2026-04-08 22:27:12,045 | INFO | Rewiring complete | nodes=24 | edges 46->51 (+5) | density 0.1667->0.1848 | avg_degree 3.83->4.25
2026-04-08 22:27:21,852 | INFO | Rewiring complete | nodes=11 | edges 21->26 (+5) | density 0.3818->0.4727 | avg_degree 3.82->4.73
2026-04-08 22:28:00,152 | INFO | Rewiring complete | nodes=336 | edges 816->897 (+81) | density 0.0145->0.0159 | avg_degree 4.86->5.34
2026-04-08 22:28:32,395 | INFO | Rewiring complete | nodes=108 | edges 243->267 (+24) | density 0.0421->0.0462 | avg_degree 4.50->4.94
2026-04-08 22:29:07,944 | INFO | Rewiring complete | nodes=154 | edges 281->309 (+28) | density 0.0239->0.0262 | avg_degree 3.65->4.01
2026-04-08 22:29:22,590 | INFO | Rewiring complete | nodes=19 | edges 33->38 (+5) | density 0.1930->0.2222 | avg_degree 3.47->4.00
2026-04-08 22:29:36,370 | INFO | Rewiring complete | nodes=11 | edges 19->24 (+5) | density 0.3455->0.4364 | avg_degree 3.45->4.36
2026-04-08 22:29:48,504 | INFO | Rewiring complete | nodes=20 | edges 32->37 (+5) | density 0.1684->0.1947 | avg_degree 3.20->3.70
2026-04-08 22:30:08,746 | INFO | Rewiring complete | nodes=52 | edges 103->113 (+10) | density 0.0777->0.0852 | avg_degree 3.96->4.35
2026-04-08 22:30:20,399 | INFO | Rewiring complete | nodes=21 | edges 38->43 (+5) | density 0.1810->0.2048 | avg_degree 3.62->4.10
2026-04-08 22:30:41,809 | INFO | Rewiring complete | nodes=44 | edges 85->93 (+8) | density 0.0899->0.0983 | avg_degree 3.86->4.23
2026-04-08 22:30:56,531 | INFO | Rewiring complete | nodes=20 | edges 36->41 (+5) | density 0.1895->0.2158 | avg_degree 3.60->4.10
2026-04-08 22:31:16,380 | INFO | Rewiring complete | nodes=40 | edges 67->73 (+6) | density 0.0859->0.0936 | avg_degree 3.35->3.65
2026-04-08 22:31:31,757 | INFO | Rewiring complete | nodes=23 | edges 41->46 (+5) | density 0.1621->0.1818 | avg_degree 3.57->4.00
2026-04-08 22:32:07,015 | INFO | Rewiring complete | nodes=285 | edges 424->466 (+42) | density 0.0105->0.0115 | avg_degree 2.98->3.27
2026-04-08 22:32:25,199 | INFO | Rewiring complete | nodes=56 | edges 79->86 (+7) | density 0.0513->0.0558 | avg_degree 2.82->3.07
2026-04-08 22:32:38,191 | INFO | Rewiring complete | nodes=27 | edges 47->52 (+5) | density 0.1339->0.1481 | avg_degree 3.48->3.85
2026-04-08 22:33:15,848 | INFO | Rewiring complete | nodes=481 | edges 1012->1113 (+101) | density 0.0088->0.0096 | avg_degree 4.21->4.63
2026-04-08 22:33:35,549 | INFO | Rewiring complete | nodes=54 | edges 92->101 (+9) | density 0.0643->0.0706 | avg_degree 3.41->3.74
2026-04-08 22:33:56,989 | INFO | Rewiring complete | nodes=67 | edges 114->125 (+11) | density 0.0516->0.0565 | avg_degree 3.40->3.73
2026-04-08 22:34:06,784 | INFO | Rewiring complete | nodes=12 | edges 24->29 (+5) | density 0.3636->0.4394 | avg_degree 4.00->4.83
2026-04-08 22:34:21,052 | INFO | Rewiring complete | nodes=36 | edges 70->77 (+7) | density 0.1111->0.1222 | avg_degree 3.89->4.28
2026-04-08 22:34:56,759 | INFO | Rewiring complete | nodes=126 | edges 265->291 (+26) | density 0.0337->0.0370 | avg_degree 4.21->4.62
2026-04-08 22:35:24,265 | INFO | Rewiring complete | nodes=98 | edges 156->171 (+15) | density 0.0328->0.0360 | avg_degree 3.18->3.49
2026-04-08 22:35:40,299 | INFO | Rewiring complete | nodes=39 | edges 81->89 (+8) | density 0.1093->0.1201 | avg_degree 4.15->4.56
2026-04-08 22:36:03,791 | INFO | Rewiring complete | nodes=53 | edges 114->125 (+11) | density 0.0827->0.0907 | avg_degree 4.30->4.72
2026-04-08 22:36:23,367 | INFO | Rewiring complete | nodes=47 | edges 88->96 (+8) | density 0.0814->0.0888 | avg_degree 3.74->4.09
2026-04-08 22:36:42,171 | INFO | Rewiring complete | nodes=45 | edges 86->94 (+8) | density 0.0869->0.0949 | avg_degree 3.82->4.18
2026-04-08 22:36:50,831 | INFO | Rewiring complete | nodes=16 | edges 25->30 (+5) | density 0.2083->0.2500 | avg_degree 3.12->3.75
2026-04-08 22:37:11,573 | INFO | Rewiring complete | nodes=58 | edges 116->127 (+11) | density 0.0702->0.0768 | avg_degree 4.00->4.38
2026-04-08 22:37:22,853 | INFO | Rewiring complete | nodes=14 | edges 25->30 (+5) | density 0.2747->0.3297 | avg_degree 3.57->4.29
2026-04-08 22:37:35,087 | INFO | Rewiring complete | nodes=27 | edges 47->52 (+5) | density 0.1339->0.1481 | avg_degree 3.48->3.85
2026-04-08 22:37:48,612 | INFO | Rewiring complete | nodes=23 | edges 38->43 (+5) | density 0.1502->0.1700 | avg_degree 3.30->3.74
2026-04-08 22:38:00,505 | INFO | Rewiring complete | nodes=38 | edges 66->72 (+6) | density 0.0939->0.1024 | avg_degree 3.47->3.79
2026-04-08 22:38:19,211 | INFO | Rewiring complete | nodes=45 | edges 86->94 (+8) | density 0.0869->0.0949 | avg_degree 3.82->4.18
2026-04-08 22:38:37,852 | INFO | Rewiring complete | nodes=33 | edges 74->81 (+7) | density 0.1402->0.1534 | avg_degree 4.48->4.91
2026-04-08 22:39:03,891 | INFO | Rewiring complete | nodes=89 | edges 143->157 (+14) | density 0.0365->0.0401 | avg_degree 3.21->3.53
2026-04-08 22:39:25,114 | INFO | Rewiring complete | nodes=50 | edges 87->95 (+8) | density 0.0710->0.0776 | avg_degree 3.48->3.80
2026-04-08 22:39:33,763 | INFO | Rewiring complete | nodes=15 | edges 25->30 (+5) | density 0.2381->0.2857 | avg_degree 3.33->4.00
2026-04-08 22:40:09,016 | INFO | Rewiring complete | nodes=101 | edges 220->242 (+22) | density 0.0436->0.0479 | avg_degree 4.36->4.79
2026-04-08 22:40:23,181 | INFO | Rewiring complete | nodes=21 | edges 37->42 (+5) | density 0.1762->0.2000 | avg_degree 3.52->4.00
2026-04-08 22:40:41,076 | INFO | Rewiring complete | nodes=25 | edges 51->56 (+5) | density 0.1700->0.1867 | avg_degree 4.08->4.48
2026-04-08 22:40:54,175 | INFO | Rewiring complete | nodes=32 | edges 56->61 (+5) | density 0.1129->0.1230 | avg_degree 3.50->3.81
2026-04-08 22:41:12,808 | INFO | Rewiring complete | nodes=72 | edges 111->122 (+11) | density 0.0434->0.0477 | avg_degree 3.08->3.39
2026-04-08 22:41:22,808 | INFO | Rewiring complete | nodes=19 | edges 38->43 (+5) | density 0.2222->0.2515 | avg_degree 4.00->4.53
2026-04-08 22:41:41,072 | INFO | Rewiring complete | nodes=34 | edges 72->79 (+7) | density 0.1283->0.1408 | avg_degree 4.24->4.65
2026-04-08 22:42:01,249 | INFO | Rewiring complete | nodes=39 | edges 68->74 (+6) | density 0.0918->0.0999 | avg_degree 3.49->3.79
2026-04-08 22:42:14,394 | INFO | Rewiring complete | nodes=11 | edges 22->27 (+5) | density 0.4000->0.4909 | avg_degree 4.00->4.91
2026-04-08 22:42:30,102 | INFO | Rewiring complete | nodes=31 | edges 65->71 (+6) | density 0.1398->0.1527 | avg_degree 4.19->4.58
2026-04-08 22:43:03,952 | INFO | Rewiring complete | nodes=180 | edges 266->292 (+26) | density 0.0165->0.0181 | avg_degree 2.96->3.24
2026-04-08 22:43:20,748 | INFO | Rewiring complete | nodes=23 | edges 54->59 (+5) | density 0.2134->0.2332 | avg_degree 4.70->5.13
2026-04-08 22:43:35,904 | INFO | Rewiring complete | nodes=20 | edges 36->41 (+5) | density 0.1895->0.2158 | avg_degree 3.60->4.10
2026-04-08 22:43:55,025 | INFO | Rewiring complete | nodes=36 | edges 69->75 (+6) | density 0.1095->0.1190 | avg_degree 3.83->4.17
2026-04-08 22:44:14,823 | INFO | Rewiring complete | nodes=57 | edges 116->127 (+11) | density 0.0727->0.0796 | avg_degree 4.07->4.46
