timestamp,nodes,edges_before,edges_after,edges_added,density_before,density_after,degree_before,degree_after,delta_time_sec,edges_ratio,density_delta,degree_delta
2026-04-08 08:48:36.901,327,899,988,89,0.0169,0.0185,5.5,6.04,,1.0989988876529477,0.0016000000000000007,0.54
2026-04-08 08:49:06.481,351,792,871,79,0.0129,0.0142,4.51,4.96,29.58,1.0997474747474747,0.0013000000000000008,0.4500000000000002
2026-04-08 08:49:36.851,188,451,496,45,0.0257,0.0282,4.8,5.28,30.37,1.099778270509978,0.0024999999999999988,0.4800000000000004
2026-04-08 08:50:07.964,108,268,294,26,0.0464,0.0509,4.96,5.44,31.113,1.0970149253731343,0.004500000000000004,0.4800000000000004
2026-04-08 08:50:41.147,174,422,464,42,0.028,0.0308,4.85,5.33,33.183,1.099526066350711,0.0028000000000000004,0.4800000000000004
2026-04-08 08:51:15.584,4152,10320,11352,1032,0.0012,0.0013,4.97,5.47,34.437,1.1,0.00010000000000000005,0.5
2026-04-08 08:51:49.171,1396,3455,3800,345,0.0035,0.0039,4.95,5.44,33.587,1.0998552821997105,0.00039999999999999975,0.4900000000000002
2026-04-08 08:52:25.018,503,1407,1547,140,0.0111,0.0123,5.59,6.15,35.847,1.099502487562189,0.0011999999999999997,0.5600000000000005
2026-04-08 08:52:59.920,377,894,983,89,0.0126,0.0139,4.74,5.21,34.902,1.099552572706935,0.001299999999999999,0.46999999999999975
2026-04-08 08:53:30.051,146,328,360,32,0.031,0.034,4.49,4.93,30.131,1.0975609756097562,0.0030000000000000027,0.4399999999999995
2026-04-08 08:54:09.427,312,761,837,76,0.0157,0.0173,4.88,5.37,39.376,1.0998685939553219,0.0016000000000000007,0.4900000000000002
2026-04-08 08:54:42.522,237,694,763,69,0.0248,0.0273,5.86,6.44,33.095,1.0994236311239194,0.0025000000000000022,0.5800000000000001
2026-04-08 08:55:13.314,315,728,800,72,0.0147,0.0162,4.62,5.08,30.792,1.098901098901099,0.0014999999999999996,0.45999999999999996
2026-04-08 08:55:44.544,277,766,842,76,0.02,0.022,5.53,6.08,31.23,1.0992167101827677,0.0019999999999999983,0.5499999999999998
2026-04-08 08:56:18.807,224,497,546,49,0.0199,0.0219,4.44,4.88,34.263,1.0985915492957747,0.0019999999999999983,0.4399999999999995
2026-04-08 08:56:58.336,452,1009,1109,100,0.0099,0.0109,4.46,4.91,39.529,1.0991080277502479,0.0009999999999999992,0.4500000000000002
2026-04-08 08:57:30.722,257,572,629,57,0.0174,0.0191,4.45,4.89,32.386,1.0996503496503496,0.0017000000000000001,0.4399999999999995
2026-04-08 08:58:08.746,221,633,696,63,0.026,0.0286,5.73,6.3,38.024,1.099526066350711,0.0026000000000000016,0.5699999999999994
2026-04-08 08:58:43.122,151,404,444,40,0.0357,0.0392,5.35,5.88,34.376,1.099009900990099,0.003499999999999996,0.5300000000000002
2026-04-08 08:59:15.038,351,787,865,78,0.0128,0.0141,4.48,4.93,31.916,1.099110546378653,0.001299999999999999,0.4499999999999993
2026-04-08 08:59:58.824,5748,14267,15693,1426,0.0009,0.001,4.96,5.46,43.786,1.0999509357258008,0.00010000000000000005,0.5
2026-04-08 09:00:35.496,697,1721,1893,172,0.0071,0.0078,4.94,5.43,36.672,1.0999418942475305,0.0006999999999999992,0.4899999999999993
2026-04-08 09:01:13.831,340,893,982,89,0.0155,0.017,5.25,5.78,38.335,1.0996640537513998,0.0015000000000000013,0.5300000000000002
