timestamp,nodes,edges_before,edges_after,edges_added,density_before,density_after,degree_before,degree_after,delta_time_sec,edges_ratio,density_delta,degree_delta
2026-04-08 12:40:32.070,17,19,24,5,0.1397,0.1765,2.24,2.82,,1.263157894736842,0.0368,0.5799999999999996
2026-04-08 12:40:56.554,13,14,19,5,0.1795,0.2436,2.15,2.92,24.484,1.3571428571428572,0.06410000000000002,0.77
2026-04-08 12:41:01.480,13,14,19,5,0.1795,0.2436,2.15,2.92,4.926,1.3571428571428572,0.06410000000000002,0.77
2026-04-08 12:41:31.716,19,22,27,5,0.1287,0.1579,2.32,2.84,30.236,1.2272727272727273,0.029200000000000004,0.52
2026-04-08 12:41:37.324,11,11,16,5,0.2,0.2909,2.0,2.91,5.608,1.4545454545454546,0.09089999999999998,0.9100000000000001
2026-04-08 12:41:54.129,28,31,36,5,0.082,0.0952,2.21,2.57,16.805,1.1612903225806452,0.013200000000000003,0.3599999999999999
2026-04-08 12:42:10.052,16,17,22,5,0.1417,0.1833,2.12,2.75,15.923,1.2941176470588236,0.0416,0.6299999999999999
2026-04-08 12:42:17.440,20,22,27,5,0.1158,0.1421,2.2,2.7,7.388,1.2272727272727273,0.026300000000000004,0.5
2026-04-08 12:42:45.132,12,13,18,5,0.197,0.2727,2.17,3.0,27.692,1.3846153846153846,0.07569999999999999,0.8300000000000001
2026-04-08 12:42:51.660,17,19,24,5,0.1397,0.1765,2.24,2.82,6.528,1.263157894736842,0.0368,0.5799999999999996
2026-04-08 12:43:22.257,17,19,24,5,0.1397,0.1765,2.24,2.82,30.597,1.263157894736842,0.0368,0.5799999999999996
2026-04-08 12:43:28.966,20,23,28,5,0.1211,0.1474,2.3,2.8,6.709,1.2173913043478262,0.026300000000000004,0.5
2026-04-08 12:43:59.205,22,25,30,5,0.1082,0.1299,2.27,2.73,30.239,1.2,0.021699999999999983,0.45999999999999996
2026-04-08 12:44:04.883,13,14,19,5,0.1795,0.2436,2.15,2.92,5.678,1.3571428571428572,0.06410000000000002,0.77
2026-04-08 12:44:33.888,19,22,27,5,0.1287,0.1579,2.32,2.84,29.005,1.2272727272727273,0.029200000000000004,0.52
2026-04-08 12:44:40.709,22,25,30,5,0.1082,0.1299,2.27,2.73,6.821,1.2,0.021699999999999983,0.45999999999999996
2026-04-08 12:45:06.441,11,11,16,5,0.2,0.2909,2.0,2.91,25.732,1.4545454545454546,0.09089999999999998,0.9100000000000001
2026-04-08 12:45:14.050,17,19,24,5,0.1397,0.1765,2.24,2.82,7.609,1.263157894736842,0.0368,0.5799999999999996
2026-04-08 12:45:41.037,13,14,19,5,0.1795,0.2436,2.15,2.92,26.987,1.3571428571428572,0.06410000000000002,0.77
2026-04-08 12:45:49.348,18,20,25,5,0.1307,0.1634,2.22,2.78,8.311,1.25,0.03269999999999998,0.5599999999999996
2026-04-08 12:46:14.693,18,19,24,5,0.1242,0.1569,2.11,2.67,25.345,1.263157894736842,0.03270000000000001,0.56
2026-04-08 12:46:21.398,17,19,24,5,0.1397,0.1765,2.24,2.82,6.705,1.263157894736842,0.0368,0.5799999999999996
2026-04-08 12:46:49.376,23,27,32,5,0.1067,0.1265,2.35,2.78,27.978,1.1851851851851851,0.019799999999999998,0.4299999999999997
2026-04-08 12:46:59.659,27,33,38,5,0.094,0.1083,2.44,2.81,10.283,1.1515151515151516,0.014299999999999993,0.3700000000000001
2026-04-08 12:47:19.934,17,19,24,5,0.1397,0.1765,2.24,2.82,20.275,1.263157894736842,0.0368,0.5799999999999996
2026-04-08 12:47:27.651,13,13,18,5,0.1667,0.2308,2.0,2.77,7.717,1.3846153846153846,0.06410000000000002,0.77
2026-04-08 12:47:34.466,23,27,32,5,0.1067,0.1265,2.35,2.78,6.815,1.1851851851851851,0.019799999999999998,0.4299999999999997
2026-04-08 12:48:01.793,17,19,24,5,0.1397,0.1765,2.24,2.82,27.327,1.263157894736842,0.0368,0.5799999999999996
2026-04-08 12:48:08.241,23,25,30,5,0.0988,0.1186,2.17,2.61,6.448,1.2,0.019799999999999998,0.43999999999999995
2026-04-08 12:48:38.176,23,27,32,5,0.1067,0.1265,2.35,2.78,29.935,1.1851851851851851,0.019799999999999998,0.4299999999999997
2026-04-08 12:48:45.336,22,25,30,5,0.1082,0.1299,2.27,2.73,7.16,1.2,0.021699999999999983,0.45999999999999996
