timestamp,nodes,edges_before,edges_after,edges_added,density_before,density_after,degree_before,degree_after,delta_time_sec,edges_ratio,density_delta,degree_delta
2026-04-08 22:26:40.212,42,81,89,8,0.0941,0.1034,3.86,4.24,,1.0987654320987654,0.009300000000000003,0.38000000000000034
2026-04-08 22:26:53.473,27,46,51,5,0.1311,0.1453,3.41,3.78,13.261,1.108695652173913,0.014200000000000018,0.36999999999999966
2026-04-08 22:27:01.296,10,17,22,5,0.3778,0.4889,3.4,4.4,7.823,1.2941176470588236,0.11109999999999998,1.0000000000000004
2026-04-08 22:27:12.045,24,46,51,5,0.1667,0.1848,3.83,4.25,10.749,1.108695652173913,0.018100000000000005,0.41999999999999993
2026-04-08 22:27:21.852,11,21,26,5,0.3818,0.4727,3.82,4.73,9.807,1.2380952380952381,0.09090000000000004,0.9100000000000006
2026-04-08 22:28:00.152,336,816,897,81,0.0145,0.0159,4.86,5.34,38.3,1.099264705882353,0.0014000000000000002,0.47999999999999954
2026-04-08 22:28:32.395,108,243,267,24,0.0421,0.0462,4.5,4.94,32.243,1.0987654320987654,0.0040999999999999995,0.4400000000000004
2026-04-08 22:29:07.944,154,281,309,28,0.0239,0.0262,3.65,4.01,35.549,1.099644128113879,0.0023,0.3599999999999999
2026-04-08 22:29:22.590,19,33,38,5,0.193,0.2222,3.47,4.0,14.646,1.1515151515151516,0.029200000000000004,0.5299999999999998
2026-04-08 22:29:36.370,11,19,24,5,0.3455,0.4364,3.45,4.36,13.78,1.263157894736842,0.09090000000000004,0.9100000000000001
2026-04-08 22:29:48.504,20,32,37,5,0.1684,0.1947,3.2,3.7,12.134,1.15625,0.026300000000000018,0.5
2026-04-08 22:30:08.746,52,103,113,10,0.0777,0.0852,3.96,4.35,20.242,1.0970873786407767,0.007499999999999993,0.3899999999999997
2026-04-08 22:30:20.399,21,38,43,5,0.181,0.2048,3.62,4.1,11.653,1.131578947368421,0.023800000000000016,0.47999999999999954
