Config,cora,dd,enzymes,mutag,proteins,pubmed,qm9,zinc
baseline_gat_2L,0.7925 ± 0.0036,0.7101 ± 0.0328,0.2583 ± 0.0651,0.7000 ± 0.0354,0.7299 ± 0.0193,0.7692 ± 0.0083,0.2235 ± 0.0274,0.0051 ± 0.0002
baseline_gat_4L,0.7625 ± 0.0131,0.6975 ± 0.0259,0.2500 ± 0.0624,0.7000 ± 0.0354,0.7411 ± 0.0289,0.7652 ± 0.0059,0.4446 ± 0.1011,0.0053 ± 0.0004
baseline_gat_6L,0.7565 ± 0.0216,0.7017 ± 0.0294,0.2917 ± 0.0449,0.7125 ± 0.0545,0.7478 ± 0.0318,0.7575 ± 0.0043,2.8352 ± 1.4696,0.0075 ± 0.0024
baseline_gat_8L,0.7523 ± 0.0128,0.7038 ± 0.0287,0.2708 ± 0.0298,0.6750 ± 0.0559,0.7366 ± 0.0402,0.7605 ± 0.0092,4.3551 ± 0.2110,0.0116 ± 0.0010
baseline_gcn_2L,0.8045 ± 0.0032,0.7164 ± 0.0262,0.2750 ± 0.0534,0.6875 ± 0.0545,0.7188 ± 0.0421,0.7695 ± 0.0055,0.2297 ± 0.0146,0.0051 ± 0.0003
baseline_gcn_4L,0.7795 ± 0.0046,0.7101 ± 0.0328,0.2708 ± 0.0557,0.7000 ± 0.0791,0.7299 ± 0.0491,0.7630 ± 0.0094,0.2134 ± 0.0128,0.0053 ± 0.0004
baseline_gcn_6L,0.7490 ± 0.0194,0.7017 ± 0.0193,0.2542 ± 0.0341,0.7000 ± 0.0500,0.7165 ± 0.0318,0.7468 ± 0.0046,0.2368 ± 0.0344,0.0052 ± 0.0005
baseline_gcn_8L,0.4827 ± 0.0598,0.6681 ± 0.0422,0.2292 ± 0.0380,0.7000 ± 0.0500,0.7210 ± 0.0448,0.6810 ± 0.0247,0.2448 ± 0.0350,0.0068 ± 0.0030
baseline_graphsage_2L,0.7958 ± 0.0087,0.7122 ± 0.0275,0.2833 ± 0.0565,0.7250 ± 0.0829,0.7254 ± 0.0439,0.7688 ± 0.0031,0.2260 ± 0.0155,0.0050 ± 0.0005
baseline_graphsage_4L,0.7522 ± 0.0107,0.6870 ± 0.0275,0.2750 ± 0.0651,0.7125 ± 0.0960,0.7254 ± 0.0376,0.7470 ± 0.0244,0.2637 ± 0.0488,0.0052 ± 0.0005
baseline_graphsage_6L,0.5550 ± 0.0355,0.6870 ± 0.0036,0.2708 ± 0.0361,0.7250 ± 0.0829,0.7277 ± 0.0479,0.6883 ± 0.0321,0.5029 ± 0.4512,0.0053 ± 0.0005
baseline_graphsage_8L,0.1795 ± 0.1246,0.6261 ± 0.0526,0.2417 ± 0.0276,0.7125 ± 0.0650,0.7232 ± 0.0289,0.4788 ± 0.1936,0.8014 ± 0.4176,0.0071 ± 0.0028
ricci_curvature_gat_2L,0.7940 ± 0.0052,0.7017 ± 0.0328,0.2167 ± 0.0289,0.6875 ± 0.0217,0.7165 ± 0.0312,0.7680 ± 0.0145,,0.0056 ± 0.0005
ricci_curvature_gat_4L,0.7652 ± 0.0071,0.6975 ± 0.0285,0.2625 ± 0.0415,0.7500 ± 0.0791,0.7366 ± 0.0426,0.7580 ± 0.0060,,0.0060 ± 0.0007
ricci_curvature_gat_6L,0.7555 ± 0.0092,0.7017 ± 0.0193,0.2208 ± 0.0660,0.7875 ± 0.0650,0.7299 ± 0.0482,0.7505 ± 0.0053,,0.0075 ± 0.0009
ricci_curvature_gat_8L,0.7455 ± 0.0201,0.7101 ± 0.0073,0.2292 ± 0.0519,0.7750 ± 0.1031,0.7522 ± 0.0359,0.7437 ± 0.0125,,0.0111 ± 0.0013
ricci_curvature_gcn_2L,0.7990 ± 0.0046,0.7122 ± 0.0348,0.2417 ± 0.0479,0.7250 ± 0.0750,0.7121 ± 0.0457,0.7688 ± 0.0031,,0.0053 ± 0.0003
ricci_curvature_gcn_4L,0.7790 ± 0.0034,0.7248 ± 0.0446,0.2292 ± 0.0320,0.7375 ± 0.0740,0.7254 ± 0.0386,0.7578 ± 0.0071,,0.0055 ± 0.0003
ricci_curvature_gcn_6L,0.7175 ± 0.0069,0.7059 ± 0.0272,0.2167 ± 0.0312,0.7125 ± 0.0893,0.7143 ± 0.0424,0.7265 ± 0.0175,,0.0056 ± 0.0006
ricci_curvature_gcn_8L,0.5135 ± 0.0325,0.6870 ± 0.0539,0.1875 ± 0.0247,0.7625 ± 0.0650,0.7098 ± 0.0392,0.6723 ± 0.0321,,0.0086 ± 0.0034
ricci_curvature_graphsage_2L,0.8045 ± 0.0071,0.6933 ± 0.0359,0.2542 ± 0.0671,0.7250 ± 0.0829,0.7121 ± 0.0406,0.7655 ± 0.0015,,0.0054 ± 0.0007
ricci_curvature_graphsage_4L,0.7578 ± 0.0156,0.6891 ± 0.0285,0.2542 ± 0.0545,0.7375 ± 0.0740,0.7143 ± 0.0352,0.7435 ± 0.0276,,0.0054 ± 0.0004
ricci_curvature_graphsage_6L,0.5582 ± 0.0343,0.6870 ± 0.0191,0.2125 ± 0.0447,0.7250 ± 0.0829,0.7009 ± 0.0412,0.6915 ± 0.0332,,0.0056 ± 0.0004
ricci_curvature_graphsage_8L,0.2460 ± 0.1094,0.6303 ± 0.0538,0.2125 ± 0.0691,0.7375 ± 0.0415,0.7165 ± 0.0365,0.4870 ± 0.1916,,0.0060 ± 0.0004
virtual_nodes_gat_2L,0.7873 ± 0.0025,0.7101 ± 0.0328,0.2000 ± 0.0456,0.7000 ± 0.0354,0.7366 ± 0.0312,0.7500 ± 0.0215,0.1997 ± 0.0144,0.0051 ± 0.0003
virtual_nodes_gat_4L,0.7765 ± 0.0133,0.6975 ± 0.0428,0.2833 ± 0.0391,0.7000 ± 0.0354,0.7612 ± 0.0312,0.7640 ± 0.0076,0.2088 ± 0.1060,0.0060 ± 0.0006
virtual_nodes_gat_6L,0.7652 ± 0.0092,0.6996 ± 0.0322,0.3000 ± 0.0236,0.6625 ± 0.0650,0.7545 ± 0.0299,0.7642 ± 0.0054,1.9436 ± 0.3612,0.0101 ± 0.0025
virtual_nodes_gat_8L,0.7502 ± 0.0315,0.7206 ± 0.0287,0.3292 ± 0.0462,0.6625 ± 0.0415,0.7433 ± 0.0292,0.7365 ± 0.0240,3.6549 ± 1.8803,0.0364 ± 0.0424
virtual_nodes_gcn_2L,0.3040 ± 0.0000,0.7143 ± 0.0361,0.2375 ± 0.0491,0.6875 ± 0.0415,0.7500 ± 0.0340,0.3450 ± 0.0000,0.2239 ± 0.0128,0.0052 ± 0.0001
virtual_nodes_gcn_4L,0.7520 ± 0.0113,0.7542 ± 0.0070,0.2417 ± 0.0250,0.6875 ± 0.0650,0.7455 ± 0.0240,0.7265 ± 0.0383,0.1945 ± 0.0174,0.0052 ± 0.0002
virtual_nodes_gcn_6L,0.4278 ± 0.0280,0.7416 ± 0.0568,0.2667 ± 0.0312,0.7125 ± 0.0650,0.7500 ± 0.0275,0.6300 ± 0.0722,0.1473 ± 0.0274,0.0052 ± 0.0002
virtual_nodes_gcn_8L,0.1890 ± 0.0168,0.7311 ± 0.0845,0.2500 ± 0.0589,0.7000 ± 0.0500,0.7478 ± 0.0324,0.5192 ± 0.0106,0.1227 ± 0.0482,0.0102 ± 0.0031
virtual_nodes_graphsage_2L,0.7995 ± 0.0057,0.7059 ± 0.0297,0.2458 ± 0.0298,0.7000 ± 0.0791,0.7567 ± 0.0278,0.7748 ± 0.0055,0.2190 ± 0.0201,0.0052 ± 0.0005
virtual_nodes_graphsage_4L,0.7130 ± 0.0421,0.6954 ± 0.0430,0.2542 ± 0.0519,0.7000 ± 0.0791,0.7321 ± 0.0433,0.7478 ± 0.0362,0.1949 ± 0.0214,0.0052 ± 0.0004
virtual_nodes_graphsage_6L,0.4083 ± 0.0483,0.6870 ± 0.0473,0.2375 ± 0.0341,0.7000 ± 0.0791,0.7366 ± 0.0286,0.5933 ± 0.0322,0.2181 ± 0.0390,0.0054 ± 0.0005
virtual_nodes_graphsage_8L,0.1787 ± 0.0829,0.6471 ± 0.0696,0.2458 ± 0.0247,0.7125 ± 0.0650,0.7411 ± 0.0374,0.2368 ± 0.0983,0.5859 ± 0.3435,0.0086 ± 0.0033
