model,layers,accuracy_mean,accuracy_std,time
gcn,2,0.8068000000000002,0.0019390719429665333,1.6737661361694336
gcn,4,0.7418,0.013496666255042403,2.688828229904175
gcn,6,0.5728,0.09854420327954354,3.4811649322509766
gcn,8,0.5357999999999999,0.08363348611650717,4.93387246131897
graphsage,2,0.791,0.0016733200530681526,1.7288601398468018
graphsage,4,0.7001999999999999,0.08838416147704292,2.5331027507781982
graphsage,6,0.39740000000000003,0.19123137817837324,3.287623643875122
graphsage,8,0.1476,0.08983006178334735,4.039545059204102
gat,2,0.6384000000000001,0.04522654088032823,3.501281261444092
gat,4,0.7622,0.016240689640529445,6.0979273319244385
gat,6,0.739,0.02495596121170253,8.936366319656372
gat,8,0.4076000000000001,0.24540546041194766,11.878821611404419
