model,layers,accuracy_mean,accuracy_std,time
gcn,2,0.7163865546218486,0.02615525125627885,626.8868966698647
gcn,4,0.7100840336134453,0.03281617510885146,487.8722234368324
gcn,6,0.7016806722689075,0.01925451972670519,517.9639394283295
gcn,8,0.6680672268907563,0.04222636815597014,528.3843094110489
graphsage,2,0.7121848739495799,0.02747205216517229,414.1092721223831
graphsage,4,0.6869747899159664,0.02747205216517229,527.5504118204117
graphsage,6,0.6869747899159664,0.0036387622007749395,583.2754903435707
graphsage,8,0.6260504201680672,0.05264690792496497,601.0258714556694
gat,2,0.7100840336134454,0.032816175108851486,746.9575433731079
gat,4,0.6974789915966386,0.025900899172138555,1090.5234636068344
gat,6,0.7016806722689075,0.02941176470588234,1369.686507999897
gat,8,0.7037815126050421,0.028728559519280123,1408.6149343252182
