model,layers,accuracy_mean,accuracy_std,time
gcn,2,0.275,0.05335936864527373,11.2611004114151
gcn,4,0.2708333333333333,0.05574620066774855,12.547466278076172
gcn,6,0.25416666666666665,0.034105636549468535,16.488494157791138
gcn,8,0.22916666666666663,0.037960139913101244,21.932642459869385
graphsage,2,0.2833333333333333,0.05651941652604389,13.761797547340393
graphsage,4,0.275,0.06508541396588878,19.12577974796295
graphsage,6,0.27083333333333337,0.0360843918243516,15.528565883636475
graphsage,8,0.24166666666666667,0.02763853991962833,18.143594920635223
gat,2,0.25833333333333336,0.06508541396588877,17.86035943031311
gat,4,0.25,0.06236095644623235,25.482512831687927
gat,6,0.2916666666666667,0.04487637339278752,35.55438679456711
gat,8,0.2708333333333333,0.029755951785595203,46.43356502056122
