model,layers,accuracy_mean,accuracy_std,time
gcn,2,0.6900000000000001,0.08000000000000003,7.539461851119995
gcn,4,0.7,0.0894427190999916,10.950960636138916
gcn,6,0.7,0.09486832980505137,14.529758071899414
gcn,8,0.6900000000000001,0.11575836902790225,17.962171745300292
graphsage,2,0.72,0.08124038404635962,6.308544158935547
graphsage,4,0.7,0.07071067811865477,9.35485119819641
graphsage,6,0.6900000000000001,0.05830951894845301,12.23217487335205
graphsage,8,0.6699999999999999,0.03999999999999998,14.945915842056275
gat,2,0.7,0.07071067811865477,10.383187246322631
gat,4,0.6699999999999999,0.05099019513592784,16.578914165496826
gat,6,0.65,0.05477225575051658,22.925532150268555
gat,8,0.6900000000000001,0.05830951894845301,28.990936470031738
