model,layers,accuracy_mean,accuracy_std,time
gcn,2,0.71875,0.04211598719668126,44.60099047422409
gcn,4,0.7299107142857143,0.049056386106776574,51.03249090909958
gcn,6,0.7165178571428572,0.031803140287444215,60.05821293592453
gcn,8,0.7209821428571429,0.044809955133671274,66.40016007423401
graphsage,2,0.7254464285714286,0.04391141868952234,31.708172082901
graphsage,4,0.7254464285714286,0.03755045500281414,42.1260969042778
graphsage,6,0.7276785714285715,0.047874130780194674,50.58817917108536
graphsage,8,0.7232142857142857,0.02893187811789225,56.10374414920807
gat,2,0.7299107142857142,0.019330924191616906,65.12982684373856
gat,4,0.7410714285714286,0.028931878117892215,100.69965273141861
gat,6,0.7477678571428572,0.03180314028744417,133.6410140991211
gat,8,0.7366071428571429,0.04017857142857141,155.70093739032745
