model,layers,accuracy_mean,accuracy_std,time
gcn,2,0.76875,0.006832825184358231,2.1965336203575134
gcn,4,0.75925,0.010304731922762484,4.108669400215149
gcn,6,0.764,0.00833666600026654,5.714162290096283
gcn,8,0.681,0.02117781858454735,7.45158851146698
graphsage,2,0.7669999999999999,0.002549509756796395,2.6934632658958435
graphsage,4,0.7509999999999999,0.023119256043393807,3.8500487208366394
graphsage,6,0.674,0.0249299017246358,5.006695568561554
graphsage,8,0.59375,0.1064644893849588,6.1270904541015625
gat,2,0.7677499999999999,0.00864219300872181,7.97625333070755
gat,4,0.76725,0.0039607448794387184,19.86111444234848
gat,6,0.7545000000000001,0.005678908345800278,31.715859353542328
gat,8,0.764,0.009192388155425127,43.617654860019684
