model,layers,mae_mean,mae_std,time
gcn,2,0.22972922702697174,0.014575834170574006,362.28350281715393
gcn,4,0.21339031229395272,0.01283869116054395,428.4809104204178
gcn,6,0.23675209708404774,0.034448459649817215,520.4348368048668
gcn,8,0.24482478573576674,0.03497584161849221,663.5160564184189
graphsage,2,0.22601192947266407,0.015488517602218928,372.1845954656601
graphsage,4,0.26373081592127146,0.0488023872853933,437.6591231226921
graphsage,6,0.5029171199034712,0.4512308433922734,522.1326258182526
graphsage,8,0.8013638957346372,0.41755572195512347,569.7949616312981
gat,2,0.22353427733022188,0.0273618449608595,648.814689040184
gat,4,0.4446497908137108,0.10105134527195896,946.1223984360695
gat,6,2.835197393626694,1.4696480805081056,1268.4230468273163
gat,8,4.355134222858071,0.21100333699781218,1569.6679762005806
