model,layers,mae_mean,mae_std,time
gcn,2,0.005116048328578472,0.00025854026718921203,140.97436374425888
gcn,4,0.005250723592936993,0.00037092247727269124,212.04596024751663
gcn,6,0.005246968790888786,0.00046036169142204815,217.64071601629257
gcn,8,0.006835048042237759,0.0029901175168966353,205.9307286143303
graphsage,2,0.005029967106878757,0.0005368183448356855,107.27467828989029
graphsage,4,0.005224302284419537,0.0005362479627018682,129.07923537492752
graphsage,6,0.0053322060704231265,0.00045940787303635805,155.61462599039078
graphsage,8,0.007132662266492843,0.0028111497005073208,183.18722891807556
gat,2,0.005135822035372257,0.000247043427318014,159.4669194817543
gat,4,0.005281043089926243,0.00039919978175225466,207.69780850410461
gat,6,0.007463352128863335,0.0024392269041019197,263.12035524845123
gat,8,0.011641117960214616,0.0010311487970959077,331.8027595281601
